brand,name,year,shape,weight_g,balance,core,surface,price_zar,price_high_zar,cheapest_store,stores_count,stores,level,best_for,in_stock,url,description
2026,2026 AT10 Pro Cup Hard by Agustín Tapia,2026,,,,hard EVA,carbon,3995,3995,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-at10-pro-cup-hard-by-agustin-tapia-2/,"2026 AT10 Pro Cup Hard by Agustín Tapia The new AT10 Pro Cup HARD 2026 updates its design while maintaining the essence of an iconic racket, now featuring the mould used by Agustín Tapia in 2025. It incorporates the latest high-performance innovations such as the EOS Flap, which enhances aerodynamics and manoeuvrability, and the Pulse System, which reduces vibrations for a more comfortable and sta"
2026,2026 AT10 Pro Cup Soft by Agustín Tapia,2026,,360,,soft EVA,carbon,3995,3995,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-at10-pro-cup-soft-by-agustin-tapia-2/,"2026 AT10 Pro Cup Soft by Agustín Tapia The AT Pro Cup Soft 2026 evolves with the mould of Agustín Tapia’s 2025 racket, incorporating advanced technologies such as the EOS Flap , which improves aerodynamics and manoeuvrability, and the Pulse System , designed to reduce vibrations and maximise comfort on every shot. Designed for players who prioritise comfort, this racket combines aluminised fibreg"
2026,2026 Equation Advanced Hard,2026,round,355,medium,hard EVA,3K carbon,2799,2799,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-equation-advanced-hard/,"The EQUATION Hard maintains its renowned combination of manoeuvrability, control and precision, offering excellent feel and a wide sweet spot thanks to the rubber also used in competition rackets. With medium balance, a carbon frame, and an anti-vibration system, it is designed to protect the player from potential injuries without compromising performance. Its faces feature rough Exclusive Spin , "
2026,2026 X-Zero Blue,2026,round,350,,EVA,3K carbon,1995,1995,World of Padel,1,World of Padel,beginner,,yes,https://worldofpadel.co.za/product/2026-x-zero-blue/,"Description The X-Zero is the perfect racket for beginners and intermediate players looking for superior control and greater forgiveness on every shot. Its round shape and new optimised hole pattern widen the sweet spot, improving ball placement and reducing errors on off-centre hits. A racket designed to offer confidence from day one, helping you to improve your technique and enjoy every game mor"
2026,2026 X-Zero Red,2026,round,350,,EVA,3K carbon,2295,2295,World of Padel,1,World of Padel,beginner,,yes,https://worldofpadel.co.za/product/2026-x-zero-red/,"Description The X-Zero is the perfect racket for beginners and intermediate players looking for superior control and greater forgiveness on every shot. Its round shape and new optimised hole pattern widen the sweet spot, improving ball placement and reducing errors on off-centre hits. A racket designed to offer confidence from day one, helping you to improve your technique and enjoy every game mor"
Adidas,2024 Adidas Match 3.3 (Black/Red),2024,diamond,360,,soft EVA,carbon,1199,1199,World of Padel,1,World of Padel,beginner,,no,https://worldofpadel.co.za/product/2024-adidas-match-3-3-black-red/,"A racket for players looking to dominate all types of shots and find the differential factor in power The ADIDAS MATCH 3.3 BLAC RED is a racket that is made to offer the best handling and great capabilities in terms of power. It is aimed at players who want to improve in all aspects of the game, but mainly the attacking game. Its All-Round shape shifts the weight to the upper part of the racket, m"
Adidas,2024 Adidas RX Series Light,2024,round,350,low,soft EVA,carbon,1795,1795,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2024-adidas-rx-series-light-padel-racket,"The Adidas RX Series Light 2024 padel racket is the perfect choice for players seeking a blend of control, comfort, and maneuverability. Designed with a lightweight frame, this racket is easy to handle, making it ideal for players who prioritize precision in their game. Its round shape and soft core provide a generous sweet spot, ensuring consistent performance on every shot. Whether you're a begi"
Adidas,2025 Adidas Cross IT 3.4,2025,,,high,EVA,15K carbon,4495,4495,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-cross-it-3-4,"The 2025 Adidas Cross It 3.4 returns as a top choice for players seeking the perfect balance of power, control, and maneuverability. Built with 15K aluminized carbon for exceptional stiffness and durability, and a high-density EVA rubber core for a precise and powerful ball output, this racket ensures elite-level performance. Featuring Dynamic Air Flow technology for improved aerodynamics and a Sp"
Adidas,2025 Adidas Cross It Control 3.4,2025,round,360,,EVA,carbon,4495,4495,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-cross-it-control-3-4,"Designed for precision and control, the Adidas Cross IT CTRL 3.4 features cutting-edge technology to elevate your game. The Dynamic Air Flow system enhances aerodynamics, while the Power Extra Grip handle provides extended leverage for improved shot execution. Its unique 11 Thirteen hole pattern optimizes power distribution, and the Spin Blade Mold 3D texture ensures exceptional spin on every shot"
Adidas,2025 Adidas Cross It Light 3.4 by Martita Ortega,2025,round,345,,soft EVA,carbon,4495,4495,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-cross-it-light-3-4,"The 2025 Adidas Cross It Light 3.4 is Marta Ortega’s latest weapon, crafted for players who demand agility, precision, and power in every shot. Weighing just 345-360g, its round shape ensures outstanding control, while the Carbon Aluminized 24K surface delivers a crisp, responsive feel. Featuring Dynamic Air Flow technology for optimized aerodynamics and EVA Soft Energy rubber for enhanced ball re"
Adidas,2025 Adidas Cross IT Team Light 3.4,2025,round,340,,EVA,carbon,2995,2995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-cross-it-team-light-3-4,FEATURES SPECIFICATIONS Brand adidas Season 2025 Gender Unisex Level Advanced Type Of Game Control Shape Round Surface Rough Weight 340-360 G Balance Low Structure Carbon Core EVA Rubber Racket Face Fiberglass
Adidas,2025 Adidas Drive Black 3.4,2025,round,,,soft EVA,fibreglass,1395,1449,PadelDeals,2,PadelDeals | World of Padel,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-drive-black-3-4,"Everything a beginner needs for a smooth and confident start in padel, perfectly combined in this racquet. The ADIDAS DRIVE BLACK 3.4 is perfect for those starting out, offering all the features beginners need to improve and gain confidence on the court. Its Structural Reinforcement enhances durability by resisting torsion, while the Smart Holes Lineal pattern strengthens the striking surface for "
Adidas,2025 Adidas Drive Grey 3.4,2025,round,,,soft EVA,fibreglass,1395,1449,PadelDeals,2,PadelDeals | World of Padel,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-drive-grey-3-4,"Ideal for newcomers, this racquet combines comfort, balance, and easy handling for a smooth start in padel. The ADIDAS DRIVE GREY 3.4 is the perfect racquet for newcomers to padel, offering a smooth blend of performance and comfort. Designed for players just discovering the sport, it features a fibreglass surface and EVA Soft Performance foam for excellent ball output and a comfortable feel during"
Adidas,2025 Adidas Drive Light 3.4,2025,round,,,soft EVA,fibreglass,1495,1495,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-drive-light-3-4,"A lightweight companion that combines comfort and precision for smooth shots on the court. The ADIDAS DRIVE LIGHT 3.4 is the ideal choice for beginners seeking control and comfort in every shot. Its lightweight design enhances manoeuvrability and precision, making quick movements on the court effortless while ensuring better control during defensive plays. Equipped with a fibreglass surface and lo"
Adidas,2025 Adidas Match Black 3.4,2025,round,,,soft EVA,fibreglass,1495,1495,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-match-black-3-4,"Refine your game with the perfect blend of control and power in every swing. The ADIDAS MATCH BLACK 3.4 is the ideal racquet for players looking to refine their style and perform at their best on the court. Its versatile all-round shape excels in both attacking and defensive play, making it a dependable choice for any match. With a fibreglass surface and low-density EVA Soft Performance foam, this"
Adidas,2025 Adidas Match Blue 3.4,2025,round,,,soft EVA,fibreglass,1395,1395,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-match-blue-3-4,"Shape your style with a design that combines powerful shots with precise control. The ADIDAS MATCH BLUE 3.4 is the ideal racquet for players who want to refine their technique while delivering outstanding performance on the court. Its all-round shape offers the versatility needed for both offensive and defensive play, making it a reliable companion for any match. Crafted with a fibreglass surface "
Adidas,2025 Adidas Metalbone 3.4,2025,diamond,,,EVA,carbon,4995,4995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-3-4,"The Adidas Metalbone 3.4 2025 is the ultimate weapon for advanced players seeking power, precision, and customisation. Featuring a diamond-shaped design and Weight & Balance System, this racket lets you fine-tune its balance for optimal performance. Crafted with aluminized 16K carbon and low-density EVA rubber, it delivers exceptional strength, control, and comfort. The Power Groove enhances struc"
Adidas,2025 Adidas Metalbone Carbon 3.4,2025,round,360,,EVA,carbon,3990,3995,World of Padel,2,PadelDeals | World of Padel,improver,,yes,https://worldofpadel.co.za/product/2025-adidas-metalbone-carbon-3-4/,"Elevate your game with the 2025 Adidas Metalbone Carbon 3.4 , crafted for elite players who demand unparalleled performance. Featuring an Octagonal Structure internal tubular frame , this racket delivers unmatched power and stability. The Power Extra Grip handle enhances striking inertia, while the low-polyhedron frame and core design optimize energy transfer. Add precision to your shots with the "
Adidas,2025 Adidas Metalbone Carbon 3.4 Bundle,2025,,,,,carbon,5495,5495,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-carbon-3-4-bundle,
Adidas,2025 Adidas Metalbone Carbon Control 3.4,2025,round,360,,soft EVA,carbon,3995,3995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-carbon-ctrl-3-4,"The 2025 Adidas Metalbone Carbon CTRL 3.4 is a top-tier padel racket designed for elite players seeking ultimate control. Its round shape, paired with advanced features like the Octagonal Structure, Power Extra Grip handle, and low-polyhedron design in the core and frame, provides an exceptional balance of precision and power. Crafted with premium materials, this racket offers superior performance"
Adidas,2025 Adidas Metalbone Carbon CTRL 3.4 Bundle,2025,,,,,carbon,5495,5495,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-carbon-ctrl-3-4-bundle,
Adidas,2025 Adidas Metalbone CTRL 3.4,2025,round,345,,soft EVA,carbon,5495,5495,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-ctrl-3-4,"The 2025 Adidas Metalbone CTRL 3.4 is engineered for players who demand control without sacrificing performance. Featuring the innovative Weight & Balance System technology, this racket offers versatility and adaptability for any playing style. Its Carbon Fibre Aluminised 16K construction and low-density EVA Soft Performance rubber ensure excellent ball output and optimal feel on every shot. Desig"
