brand,name,year,shape,shape_source,profile,weight_g,balance,core,surface,colours,price_zar,price_high_zar,price_spread,cheapest_store,stores_count,stores,availability,level,best_for,needs_review,url,description
Adidas,2025 Adidas Cross It Light 3.4 by Martita Ortega,2025,round,store,control,375,,soft EVA,carbon,,4299,4495,196,The Padel Market,2,PadelDeals | The Padel Market,medium,improver,,,https://thepadelmarket.co.za/products/adidas-cross-it-light-3-4-2025,"The 2025 Adidas Cross It Light 3.4 is Marta Ortega’s latest weapon, crafted for players who demand agility, precision, and power in every shot. Weighing just 345-360g, its round shape ensures outstanding control, while the Carbon Aluminized 24K surface delivers a crisp, responsive feel. Featuring Dynamic Air Flow technology for optimized aerodynamics and EVA Soft Energy rubber for enhanced ball re"
Adidas,2026 Adidas Arrow Hit Hexagon Cup - Limited Edition,2026,diamond,store,power,,,soft EVA,carbon,,5995,5995,0,PadelDeals,1,PadelDeals,low,intermediate,,,https://padeldeals.co.za/products/2026-adidas-arrow-hit-hexagon-cup-limited-edition,"The adidas Metalbone Pro Edt 2025 is a limited-edition racket developed in collaboration with Ale Galán. From Madrid to the world, Ale has redefined what it means to compete with character, intelligence, and power. This racket draws inspiration from Mercury’s energy: fast, unpredictable, precise. It’s made for those who play on the edge, without compromise. The Metalbone PRO-EDT 2025 is a power ra"
Adidas,2026 Adidas Arrow Hit PRO EDT - Limited Edition | Ari Sánchez,2026,diamond,inferred,power,,,,,,9295,9295,0,PadelDeals,1,PadelDeals,low,advanced,,"core,surface",https://padeldeals.co.za/products/2026-adidas-arrow-hit-pro-edt-limited-edition-ari-sanchez,
Adidas,2026 Adidas Cross IT Carbon,2026,diamond,store,power,,,EVA,carbon,,4299,5999,1700,PadelZone,3,PadelDeals | PadelZone | Virgin Active Padel Club,high,intermediate,,,https://padelzone.co.za/products/adidas-cross-it-carbon-2026-padel-racket,"The-all new Adidas Cross IT Carbon 2026 is here with premium power and comfort for the Padel player looking to attack with conviction. Featuring a diamond shape with high sweet spot and Carbon 6K face, this innovative Padel Racket combines Soft Performance EVA core with revolutionary 11 Thirteen technology for exceptional power with improved comfort and durability, making it perfect for profession"
Adidas,2026 Adidas Cross IT Light,2026,round,store,control,355,,EVA,carbon,,4999,6499,1500,The Padel Market,4,PadelDeals | PadelZone | The Padel Market | Virgin Active Padel Club,high,intermediate,,,https://thepadelmarket.co.za/products/crossit-light-2026,"The Adidas Cross It Light 2026 is a padel racket designed for players seeking a perfect balance between power and control with every shot. Its advanced lightness and round shape with a centered sweet spot ensure maneuverability and precision, ideal for those who master technique and rhythm on the court. This model, which stands out for its innovative dynamic air flow system, is intended for profes"
Adidas,2026 Adidas Cross It PRO EDT - Limited Edition | Martita Ortega,2026,round,inferred,control,,,,,,7495,7495,0,PadelDeals,1,PadelDeals,low,advanced,,"core,surface",https://padeldeals.co.za/products/2026-adidas-cross-it-pro-edt-limited-edition-martita-ortega,
Adidas,2026 Adidas Cross IT Team CTRL,2026,round,store,control,,high,EVA,fibreglass,,3995,3999,4,PadelDeals,3,PadelDeals | PadelZone | Virgin Active Padel Club,high,improver,,,https://padeldeals.co.za/products/2026-adidas-cross-it-team-ctrl,"Introducing the all new Adidas Cross IT Team CTRL 2026, a perfect combination of power and comfort in one great looking package. Featuring a round shape with centred sweet spot and Fibreglass face, this innovative Padel Racket combines Soft Performance EVA core with revolutionary 11 Thirteen technology for exceptional control with improved comfort and durability, making it perfect for advanced pla"
Adidas,2026 Adidas Drive Black,2026,round,store,control,,medium,EVA,fibreglass,"Black, Blue",1995,2495,500,PadelDeals,4,PadelDeals | PadelGear | PadelZone | Virgin Active Padel Club,high,beginner,,,https://padeldeals.co.za/products/2026-adidas-drive-black,"Introducing the Adidas Drive (Black) 2026, part of the new 2026 Adidas Padel range. Built for beginners and casual players prioritizing comfort, it delivers effortless handling, maximum control, and a completely vibration-free feel on the court. Key features: Round shape, low balance: Weight concentrated near the grip for effortless maneuverability and rapid defensive reactions. Lightweight Profil"
Adidas,2026 Adidas Drive Light,2026,round,store,control,,medium,EVA,fibreglass,,1995,1999,4,PadelDeals,3,PadelDeals | PadelZone | Virgin Active Padel Club,high,beginner,,,https://padeldeals.co.za/products/2026-adidas-drive-light,"Introducing the Adidas Drive Light 2026 Padel Racket , a lightweight entry-level racket that makes stepping onto the Padel court a comfortable and enjoyable experience. With its clean white and orange design, this racket combines ease of handling with reliable performance for beginners who want a smooth start to their Padel journey. Adidas has been at the forefront of Padel innovation, and the Dri"
Adidas,2026 Adidas Match (Black/Orange),2026,teardrop,store,hybrid,,medium,EVA,fibreglass,"Black, Orange, Lime",1995,2495,500,PadelDeals,4,PadelDeals | PadelGear | PadelZone | Virgin Active Padel Club,high,beginner,,,https://padeldeals.co.za/products/2026-adidas-match-light-copy,"Introducing the Adidas Match Black/Orange 2026, part of the new 2026 Adidas Padel range. Built for players starting their padel journey, it delivers an enormous sweet spot, reliable comfort, and easy, forgiving power to help you master the basics with confidence. Key features: All-Round Teardrop shape: Perfectly balanced to provide a versatile mix of power and defensive control. Extra Large Sweet "
Adidas,2026 Adidas Metalbone,2026,diamond,store,power,355,,EVA,carbon,,5799,7999,2200,The Padel Market,5,PadelDeals | PadelGear | PadelZone | The Padel Market | Virgin Active Padel Club,high,advanced,,,https://thepadelmarket.co.za/products/metalbone-2026,"The new Adidas Metalbone 2026, the padel racket designed for players seeking explosive performance and total dominance on the court. Its innovative structure and advanced technologies offer a perfect blend of power and control, ideal for those demanding an aggressive and sophisticated game. Designed for the professional male player who sets the pace, this top-category padel racket adapts to offens"
Adidas,2026 Adidas Metalbone Carbon,2026,diamond,store,power,,,EVA,carbon,,4499,5999,1500,PadelZone,3,PadelDeals | PadelZone | Virgin Active Padel Club,high,intermediate,,,https://padelzone.co.za/products/metalbone-carbon-2026,"The Adidas Metalbone Carbon 2026 is finally here and the latest evolution of one of Padel's most iconic power rackets. Featuring a diamond shape with head-heavy balance and revolutionary octagonal structure, this aggressive Padel Racket combines Carbon 6K face construction with Soft Performance EVA for devastating power whilst maintaining exceptional control, making it the ultimate weapon for atta"
Adidas,2026 Adidas Metalbone Carbon CTRL,2026,round,store,control,360,,EVA,carbon,,4499,5999,1500,The Padel Market,4,PadelDeals | PadelZone | The Padel Market | Virgin Active Padel Club,high,intermediate,,,https://thepadelmarket.co.za/products/metalbone-carbon-ctrl-2026,"Adidas Metalbone Carbon Control 2026, is a padel racket designed for players seeking maximum control without sacrificing measured and effective power. Perfect for men with advanced skill levels, this racket offers a unique balance that promotes a tactical and precise playing style, ideal for dominating each point from defense and strategic attack. The combination of advanced technology and premium"
Adidas,2026 Adidas Metalbone CTRL,2026,round,store,control,360,medium,soft EVA,carbon,,5999,7999,2000,The Padel Market,4,PadelDeals | PadelZone | The Padel Market | Virgin Active Padel Club,high,advanced,,,https://thepadelmarket.co.za/products/metalbone-ctrl-2026,"The Adidas Metalbone Control 2026 is a padel racket designed for players seeking a perfect balance between power and control. Its round shape and centered sweet spot make it the ideal option for those who dominate the game with technique and anticipation, without giving up the characteristic strength of the Metalbone family. Perfect for athletes who value the precision and soft touch provided by i"
Adidas,2026 Adidas Metalbone PRO EDT - Limited Edition | Ale Galan,2026,diamond,inferred,power,,,,,,8995,8995,0,PadelDeals,1,PadelDeals,low,advanced,,"core,surface",https://padeldeals.co.za/products/2026-adidas-metalbone-pro-edt-limited-edition-ale-galan,
