brand,name,year,shape,weight_g,balance,core,surface,price_zar,price_high_zar,price_spread,cheapest_store,stores_count,stores,level,best_for,in_stock,url,description
2026,2026 AT10 Pro Cup Hard by Agustín Tapia,2026,,,,hard EVA,carbon,3995,3995,0,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-at10-pro-cup-hard-by-agustin-tapia-2/,"2026 AT10 Pro Cup Hard by Agustín Tapia The new AT10 Pro Cup HARD 2026 updates its design while maintaining the essence of an iconic racket, now featuring the mould used by Agustín Tapia in 2025. It incorporates the latest high-performance innovations such as the EOS Flap, which enhances aerodynamics and manoeuvrability, and the Pulse System, which reduces vibrations for a more comfortable and sta"
2026,2026 AT10 Pro Cup Soft by Agustín Tapia,2026,,360,,soft EVA,carbon,3995,3995,0,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-at10-pro-cup-soft-by-agustin-tapia-2/,"2026 AT10 Pro Cup Soft by Agustín Tapia The AT Pro Cup Soft 2026 evolves with the mould of Agustín Tapia’s 2025 racket, incorporating advanced technologies such as the EOS Flap , which improves aerodynamics and manoeuvrability, and the Pulse System , designed to reduce vibrations and maximise comfort on every shot. Designed for players who prioritise comfort, this racket combines aluminised fibreg"
2026,2026 Equation Advanced Hard,2026,round,355,medium,hard EVA,3K carbon,2799,2799,0,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-equation-advanced-hard/,"The EQUATION Hard maintains its renowned combination of manoeuvrability, control and precision, offering excellent feel and a wide sweet spot thanks to the rubber also used in competition rackets. With medium balance, a carbon frame, and an anti-vibration system, it is designed to protect the player from potential injuries without compromising performance. Its faces feature rough Exclusive Spin , "
2026,2026 X-Zero Blue,2026,round,350,,EVA,3K carbon,1995,1995,0,World of Padel,1,World of Padel,beginner,,yes,https://worldofpadel.co.za/product/2026-x-zero-blue/,"Description The X-Zero is the perfect racket for beginners and intermediate players looking for superior control and greater forgiveness on every shot. Its round shape and new optimised hole pattern widen the sweet spot, improving ball placement and reducing errors on off-centre hits. A racket designed to offer confidence from day one, helping you to improve your technique and enjoy every game mor"
2026,2026 X-Zero Red,2026,round,350,,EVA,3K carbon,2295,2295,0,World of Padel,1,World of Padel,beginner,,yes,https://worldofpadel.co.za/product/2026-x-zero-red/,"Description The X-Zero is the perfect racket for beginners and intermediate players looking for superior control and greater forgiveness on every shot. Its round shape and new optimised hole pattern widen the sweet spot, improving ball placement and reducing errors on off-centre hits. A racket designed to offer confidence from day one, helping you to improve your technique and enjoy every game mor"
Adidas,2024 Adidas Match 3.3 (Black/Red),2024,diamond,360,,soft EVA,carbon,1199,1199,0,World of Padel,1,World of Padel,beginner,,no,https://worldofpadel.co.za/product/2024-adidas-match-3-3-black-red/,"A racket for players looking to dominate all types of shots and find the differential factor in power The ADIDAS MATCH 3.3 BLAC RED is a racket that is made to offer the best handling and great capabilities in terms of power. It is aimed at players who want to improve in all aspects of the game, but mainly the attacking game. Its All-Round shape shifts the weight to the upper part of the racket, m"
Adidas,2024 Adidas RX Series Light,2024,round,350,low,soft EVA,carbon,1795,1795,0,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2024-adidas-rx-series-light-padel-racket,"The Adidas RX Series Light 2024 padel racket is the perfect choice for players seeking a blend of control, comfort, and maneuverability. Designed with a lightweight frame, this racket is easy to handle, making it ideal for players who prioritize precision in their game. Its round shape and soft core provide a generous sweet spot, ensuring consistent performance on every shot. Whether you're a begi"
Adidas,2025 Adidas Cross It Light 3.4 by Martita Ortega,2025,round,375,,soft EVA,carbon,4299,4495,196,The Padel Market,2,PadelDeals | The Padel Market,improver,,yes,https://thepadelmarket.co.za/products/adidas-cross-it-light-3-4-2025,"The 2025 Adidas Cross It Light 3.4 is Marta Ortega’s latest weapon, crafted for players who demand agility, precision, and power in every shot. Weighing just 345-360g, its round shape ensures outstanding control, while the Carbon Aluminized 24K surface delivers a crisp, responsive feel. Featuring Dynamic Air Flow technology for optimized aerodynamics and EVA Soft Energy rubber for enhanced ball re"
Adidas,2025 Adidas Match Black 3.4,2025,round,,,soft EVA,fibreglass,1495,1495,0,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2025-adidas-match-black-3-4,"Refine your game with the perfect blend of control and power in every swing. The ADIDAS MATCH BLACK 3.4 is the ideal racquet for players looking to refine their style and perform at their best on the court. Its versatile all-round shape excels in both attacking and defensive play, making it a dependable choice for any match. With a fibreglass surface and low-density EVA Soft Performance foam, this"
Adidas,2025 Adidas Metalbone Carbon 3.4 Bundle,2025,,,,,carbon,5495,5495,0,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-carbon-3-4-bundle,
Adidas,2025 Adidas Metalbone Carbon CTRL 3.4 Bundle,2025,,,,,carbon,5495,5495,0,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-carbon-ctrl-3-4-bundle,
Adidas,2026 Adidas Arrow Hit Hexagon Cup - Limited Edition,2026,diamond,,,soft EVA,carbon,5995,5995,0,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-hexagon-cup-limited-edition,"The adidas Metalbone Pro Edt 2025 is a limited-edition racket developed in collaboration with Ale Galán. From Madrid to the world, Ale has redefined what it means to compete with character, intelligence, and power. This racket draws inspiration from Mercury’s energy: fast, unpredictable, precise. It’s made for those who play on the edge, without compromise. The Metalbone PRO-EDT 2025 is a power ra"
